Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2017-02-03,935.9,933.8,940.9,921.05,934.05,936.1,929.96,4211979,3916979843,136814
2017-02-06,936.1,937.25,943.75,930.55,934,935.25,935.91,3363967,3148362599,90322
2017-02-07,935.25,933,949.8,928.55,946,942.25,937.35,4634001,4343703630,78781
2017-02-08,942.25,936,944.1,932.45,934,936.5,936.48,3159981,2959255451,104030
2017-02-09,936.5,937,950,936.55,946,946,944.59,5953633,5623726244,212836
2017-02-10,946,946.25,972,943.3,967,968.3,959.62,6126226,5878867733,147110
2017-02-13,968.3,972.85,986.1,962.85,984,984.35,978.43,6862134,6714084291,115322
2017-02-14,984.35,980,989,972.35,987.75,987.7,982.86,4669409,4589393176,93050
2017-02-15,987.7,989.2,998.8,968.8,982.15,981.8,984.58,3629743,3573754984,69110
2017-02-16,981.8,991,1013.9,990.05,1012,1012.1,1004.57,6407929,6437217885,114268
2017-02-17,1012.1,1013.75,1013.75,992.7,999,1000.1,1000.09,2425604,2425826884,67547
2017-02-20,1000.1,996.5,1031,993.5,1030,1010.25,1002.49,2325331,2331129298,57830
2017-02-21,1010.25,1022.1,1024.5,1000.05,1011,1013.6,1014.45,3806998,3862010544,86430
2017-02-22,1013.6,1015,1015,986.4,991,990.15,994.38,3303919,3285353834,121253
2017-02-23,990.15,998.9,1020,993.35,1006.55,1008.85,1009.55,4771328,4816916303,103839
2017-02-27,1008.85,1007.3,1023,1006.95,1013.05,1012.4,1017.4,2664348,2710714927,83469
2017-02-28,1012.4,1011.85,1022.7,1009.25,1012,1012.4,1014.8,2970066,3014022678,93851
2017-03-01,1012.4,1012,1027,1010.1,1025.25,1025.15,1024.23,2141224,2193095873,114684
2017-03-02,1025.15,1024.4,1028,1016.5,1018.9,1023.3,1024.05,1474249,1509698903,42399
2017-03-03,1023.3,1010.25,1034.3,1000.4,1032.15,1031.2,1021.08,2700806,2757727851,74416
